,community1,community2,edges
1275,3,1331,1
1276,3,1338,2
1277,3,1348,1
1278,3,1350,3
1279,3,592,1
1280,3,1356,3
1281,3,1418,6
1282,3,1385,1
1283,3,1365,1
1284,3,1370,1
1285,3,1371,5
1286,3,2161,3
1287,3,1374,1
1288,3,1380,2
1289,3,1386,1
1290,3,1387,3
1291,3,1389,2
1292,3,1735,4
1293,3,1392,4
1294,3,1405,6
1295,3,1406,4
1296,3,1407,1
1297,3,1408,3
1298,3,1409,1
1299,3,1498,2
1300,3,1411,5
1301,3,1325,1
1302,3,1415,1
1303,3,1417,3
1304,3,1639,1
1305,3,1421,1
1306,3,1422,3
1307,3,2265,7
1308,3,1423,1
1309,3,1589,1
1310,3,1843,3
1311,3,1430,3
1312,3,1432,1
1313,3,1435,2
1314,3,1439,1
1315,3,1440,4
1316,3,1443,1
1317,3,1444,4
1318,3,1445,2
1319,3,1449,5
1320,3,1454,8
1321,3,1455,1
1322,3,1458,1
1323,3,1459,4
1324,3,1461,1
1325,3,1462,1
1326,3,1464,1
1327,3,1465,9
1328,3,1469,1
1329,3,1472,4
1330,3,1474,3
1331,3,550,2
1332,3,1477,1
1333,3,427,1
1334,3,1480,2
1335,3,1046,2
1336,3,733,4
1337,3,1491,1
1338,3,1492,4
1339,3,1493,4
1340,3,1496,3
1341,3,1497,2
1342,3,29,1
1343,3,1501,1
1344,3,2003,4
1345,3,1510,1
1346,3,2373,2
1347,3,2420,7
1348,3,1518,1
1349,3,1520,2
1350,3,1522,3
1351,3,1523,4
1352,3,1524,1
1353,3,1526,1
1354,3,1530,4
1355,3,1537,1
1356,3,1538,1
1357,3,1541,1
1358,3,1542,6
1359,3,2000,1
1360,3,1543,1
1361,3,1544,1
1362,3,1545,1
1363,3,1546,1
1364,3,1548,7
1365,3,1549,2
1366,3,1551,3
1367,3,1552,1
1368,3,1553,1
1369,3,1556,4
1370,3,1558,2
1371,3,1564,1
1372,3,1566,2
1373,3,1571,3
1374,3,1811,4
1375,3,75,1
1376,3,1574,2
1377,3,1580,1
1378,3,2068,3
1379,3,1582,4
1380,3,1584,3
1381,3,2387,1
1382,3,1585,1
1383,3,2360,2
1384,3,1739,1
1385,3,1594,1
1386,3,1595,1
1387,3,1598,1
1388,3,1603,2
1389,3,1604,1
1390,3,806,1
1391,3,1612,2
1392,3,1613,3
1393,3,1614,2
1394,3,1616,2
1395,3,2380,3
1396,3,1620,1
1397,3,1623,1
1398,3,1625,1
1399,3,1627,2
1400,3,1630,7
1401,3,1637,5
1402,3,1638,1
1403,3,1957,2
1404,3,1640,2
1405,3,1641,2
1406,3,1642,2
1407,3,1645,1
1408,3,1646,1
1409,3,1648,1
1410,3,1650,5
1411,3,1652,1
1412,3,1653,2
1413,3,1654,3
1414,3,1657,2
1415,3,1658,2
1416,3,1660,6
1417,3,1663,1
1418,3,2213,1
1419,3,1668,1
1420,3,1671,1
1421,3,1673,2
1422,3,251,1
1423,3,1679,2
1424,3,1426,5
1425,3,1690,4
1426,3,1693,1
1427,3,1695,1
1428,3,560,1
1429,3,2182,1
1430,3,1699,3
1431,3,1703,3
1432,3,1704,3
1433,3,2575,12
1434,3,1706,2
1435,3,1677,6
1436,3,1707,2
1437,3,1708,3
1438,3,1710,8
1439,3,1715,2
1440,3,1716,1
1441,3,1718,1
1442,3,1719,6
1443,3,1721,2
1444,3,1723,1
1445,3,1725,3
1446,3,1729,1
1447,3,1736,1
1448,3,1740,3
1449,3,1973,4
1450,3,1741,3
1451,3,1742,1
1452,3,1743,2
1453,3,1745,4
1454,3,1751,1
1455,3,1754,1
1456,3,1755,1
1457,3,1756,2
1458,3,1758,2
1459,3,2398,1
1460,3,1761,1
1461,3,1762,2
1462,3,1765,1
1463,3,1768,2
1464,3,514,2
1465,3,1770,4
1466,3,1772,1
1467,3,1362,1
1468,3,1780,2
1469,3,1783,2
1470,3,1872,4
1471,3,1787,3
1472,3,1789,3
1473,3,1791,2
1474,3,2637,2
1475,3,2255,26
1476,3,1804,2
1477,3,2172,1
1478,3,1812,7
1479,3,1814,2
1480,3,1826,3
1481,3,1907,1
1482,3,625,2
1483,3,1841,2
1484,3,1842,1
1485,3,1845,6
1486,3,1852,2
1487,3,1895,5
1488,3,1861,3
1489,3,1863,2
1490,3,1868,2
1491,3,1871,5
1492,3,1875,1
1493,3,1878,4
1494,3,1885,1
1495,3,2160,11
1496,3,1887,2
1497,3,1889,3
1498,3,1901,5
1499,3,2304,1
1500,3,1905,1
1501,3,1906,6
1502,3,1908,1
1503,3,1912,1
1504,3,1916,1
1505,3,1926,3
1506,3,1928,1
1507,3,2098,9
1508,3,1931,2
1509,3,1940,2
1510,3,1941,1
1511,3,1943,4
1512,3,2579,1
1513,3,1949,5
1514,3,1394,1
1515,3,1962,2
1516,3,2236,5
1517,3,1958,2
1518,3,1964,1
1519,3,1965,1
1520,3,244,1
1521,3,1967,3
1522,3,1968,8
1523,3,2298,5
1524,3,629,3
1525,3,2147,1
1526,3,1974,1
1527,3,1975,2
1528,3,1978,2
1529,3,1980,1
1530,3,1981,2
1531,3,1982,1
1532,3,1983,2
1533,3,2560,1
1534,3,1984,1
1535,3,1986,1
1536,3,1990,2
1537,3,1992,3
1538,3,1146,2
1539,3,2009,2
1540,3,2012,1
1541,3,2013,2
1542,3,2014,4
1543,3,2015,1
1544,3,2016,1
1545,3,2626,2
1546,3,2020,3
1547,3,1921,1
1548,3,2102,7
1549,3,2047,2
1550,3,2030,1
1551,3,2032,1
1552,3,2042,1
1553,3,2043,3
1554,3,2054,4
1555,3,2055,3
1556,3,2059,2
1557,3,1867,3
1558,3,2067,1
1559,3,2070,2
1560,3,2071,1
1561,3,2072,1
1562,3,2076,2
1563,3,194,1
1564,3,420,1
1565,3,294,3
1566,3,2078,3
1567,3,2080,2
1568,3,2084,1
1569,3,2087,5
1570,3,2088,4
1571,3,2090,5
1572,3,2093,3
1573,3,2094,7
