max_degree,mean_degree,median_degree,nodes
6,5.0,6.0,3
6,4.0,4.0,2
10,4.666666666666667,2.0,3
3,2.5,2.5,2
76,48.4,46.0,20
2,1.5,1.5,2
4,3.5,3.5,2
4,3.5,3.5,2
3,2.0,2.0,2
5,4.5,4.5,2
3,3.0,3.0,2
14,8.666666666666666,9.0,6
27,17.181818181818183,16.0,11
4,4.0,4.0,2
3,3.0,3.0,2
7,5.0,6.0,3
12,8.0,8.0,2
4,3.5,3.5,2
7,4.0,3.0,3
11,7.25,6.5,4
17,7.5,5.0,4
27,6.666666666666667,3.0,6
4,4.0,4.0,2
3,2.5,2.5,2
5,4.5,4.5,2
9,6.333333333333333,5.0,3
14,10.4,11.0,5
5,3.5,3.5,2
15,10.0,10.5,8
13,11.0,10.0,3
14,7.75,6.0,4
10,7.285714285714286,7.0,7
1293,81.51159951159951,42.0,819
9,9.0,9.0,2
3,2.5,2.5,2
6,4.0,4.0,2
15,9.285714285714286,10.0,7
6,4.666666666666667,4.0,3
13,11.0,13.0,3
9,5.6,6.0,5
5,4.5,4.5,2
9,7.0,7.0,3
8,6.666666666666667,6.0,3
12,10.0,12.0,3
7,6.5,6.5,2
6,4.0,4.0,2
5,3.5,3.5,2
11,7.333333333333333,6.0,3
9,8.0,8.0,3
9,4.333333333333333,2.0,3
5,4.5,4.5,2
21,4.0,1.0,8
12,8.333333333333334,7.0,3
7,5.0,5.0,3
4,3.0,3.0,2
36,11.9,8.5,10
8,5.2,5.0,5
6,4.0,4.0,2
7,6.0,6.0,2
16,8.666666666666666,6.0,3
14,8.857142857142858,10.0,7
287,34.92168674698795,25.0,166
26,12.076923076923077,10.0,13
3,2.5,2.5,2
10,7.666666666666667,7.0,3
10,5.333333333333333,4.0,3
12,9.666666666666666,10.0,3
6,4.5,4.5,2
11,5.666666666666667,4.0,3
13,6.2,6.0,5
9,5.75,5.5,4
11,5.333333333333333,3.0,3
25,11.4,11.0,5
4,3.5,3.5,2
208,30.413385826771652,21.0,254
4,3.0,3.0,2
8,5.666666666666667,5.0,3
9,4.666666666666667,3.0,3
1259,52.28444084278768,24.0,1234
10,7.666666666666667,7.0,3
8,6.0,6.0,2
15,11.333333333333334,10.0,3
3,3.0,3.0,2
18,11.666666666666666,12.5,6
6,5.0,5.0,2
7,5.333333333333333,5.0,3
4,3.5,3.5,2
7,5.0,5.0,2
13,9.666666666666666,10.0,3
15,9.2,9.0,5
2,1.5,1.5,2
19,7.8,5.0,5
5,4.333333333333333,5.0,3
7,6.0,6.0,2
4,3.0,3.0,2
10,7.0,8.0,4
9,5.0,4.5,4
10,7.0,7.0,4
9,7.25,9.0,4
205,37.72628726287263,29.0,369
5,3.6666666666666665,4.0,3
4,4.0,4.0,2
30,21.666666666666668,20.5,6
4,3.5,3.5,2
11,8.0,8.0,2
8,6.0,7.0,3
4,3.5,3.5,2
5,4.666666666666667,5.0,3
6,6.0,6.0,2
4,4.0,4.0,2
8,7.0,7.0,2
6,3.6666666666666665,4.0,3
5,4.5,4.5,2
2,2.0,2.0,2
9,5.5,5.0,4
23,12.0,10.0,5
8,4.0,3.0,4
4,3.5,3.5,2
2,2.0,2.0,2
37,15.5,16.0,14
21,11.88888888888889,14.0,9
10,7.0,6.0,3
8,6.0,7.0,4
55,25.272727272727273,24.0,33
4,3.0,3.0,2
6,5.0,5.0,3
4,2.6666666666666665,2.0,3
4,3.5,3.5,2
11,7.0,6.5,4
8,6.0,6.0,2
4,3.5,3.5,2
258,86.73446327683615,79.0,177
3,3.0,3.0,2
4,3.0,3.0,2
8,5.25,5.5,4
3,2.5,2.5,2
6,4.25,5.0,4
6,4.0,4.0,3
6,4.333333333333333,5.0,3
7,4.333333333333333,3.0,3
20,8.2,7.0,5
10,8.5,8.5,2
3,3.0,3.0,2
13,9.4,10.0,5
13,6.285714285714286,4.0,7
27,15.166666666666666,14.0,12
6,5.0,5.0,3
6,5.0,5.0,3
6,4.0,4.0,3
16,11.666666666666666,11.0,3
7,5.0,5.0,3
14,9.25,8.0,4
2,1.5,1.5,2
4,3.0,3.0,2
4,3.5,3.5,2
8,4.5,4.0,4
6,4.0,4.0,2
7,5.0,6.0,3
4,3.0,3.0,2
4,3.5,3.5,2
2,2.0,2.0,2
8,6.0,6.0,2
2,2.0,2.0,2
5,3.5,3.5,2
6,4.5,4.5,2
4,3.5,3.5,2
5,4.5,4.5,2
5,4.5,4.5,2
11,5.333333333333333,3.0,3
28,13.666666666666666,11.5,6
9,6.0,6.0,2
16,10.142857142857142,12.0,7
5,4.5,4.5,2
11,6.666666666666667,5.0,3
6,4.0,4.0,2
4,4.0,4.0,2
6,5.0,5.0,2
6,5.5,5.5,2
2,1.5,1.5,2
11,7.333333333333333,6.0,3
11,8.0,7.0,3
7,4.333333333333333,5.0,3
5,5.0,5.0,2
18,9.428571428571429,8.0,7
3,3.0,3.0,2
2,2.0,2.0,2
11,9.25,9.5,4
5,5.0,5.0,2
12,10.25,11.0,4
9,6.666666666666667,6.0,3
11,6.75,6.5,4
4,3.0,3.0,2
7,6.0,6.0,2
6,5.0,5.0,2
14,8.0,8.0,2
11,7.666666666666667,7.0,3
9,6.5,6.5,2
6,4.5,4.5,2
7,5.5,5.5,2
4,4.0,4.0,2
8,5.5,5.5,2
6,3.6666666666666665,3.0,3
6,6.0,6.0,2
4,3.0,3.0,2
4,3.5,3.5,2
5,4.0,4.0,2
9,5.0,4.0,3
8,6.333333333333333,8.0,3
12,6.5,6.5,4
4,3.5,3.5,2
18,12.8,14.0,5
8,6.0,6.0,2
10,6.5,6.5,2
7,5.0,6.0,3
4,4.0,4.0,2
4,4.0,4.0,2
51,30.294117647058822,35.0,34
2,2.0,2.0,2
3,2.5,2.5,2
5,4.5,4.5,2
17,10.2,7.0,5
13,7.0,6.0,3
7,5.4,6.0,5
3,2.5,2.5,2
6,5.5,5.5,2
13,8.4,8.5,10
5,4.0,4.0,2
6,6.0,6.0,2
6,4.5,4.5,2
17,9.25,8.0,4
2,2.0,2.0,2
8,6.333333333333333,7.0,3
3206,36.768415474297825,15.0,1887
4,3.5,3.5,2
4,4.0,4.0,2
5,4.5,4.5,2
25,8.25,7.5,8
6,4.5,4.5,2
4,3.5,3.5,2
3,3.0,3.0,2
15,6.5,5.5,6
17,8.8,7.0,5
8,4.666666666666667,4.0,3
8,7.0,7.0,2
4,3.5,3.5,2
14,11.0,10.0,3
3,3.0,3.0,2
8,5.0,4.0,3
6,4.75,5.5,4
12,7.428571428571429,7.0,7
21,10.5,11.0,6
8,7.666666666666667,8.0,3
6,4.5,4.5,2
4,3.5,3.5,2
3,3.0,3.0,2
10,7.5,8.0,4
6,5.0,5.0,3
7,5.0,5.5,4
4,3.5,3.5,2
4,3.0,3.0,2
56,29.310344827586206,30.0,29
6,5.333333333333333,5.0,3
5,4.333333333333333,4.0,3
13,8.666666666666666,7.0,3
4,3.5,3.5,2
28,17.6,18.0,10
797,23.081412457086806,13.0,2039
6,5.0,5.0,2
7,6.5,6.5,2
7,6.5,6.5,2
14,7.666666666666667,5.0,3
194,29.146341463414632,24.0,82
2,2.0,2.0,2
14,10.0,9.5,4
5,4.0,4.0,2
4,3.5,3.5,2
5,4.666666666666667,5.0,3
8,6.666666666666667,7.0,3
4,3.5,3.5,2
8,4.666666666666667,4.0,3
9,7.666666666666667,8.0,3
4,4.0,4.0,2
4,3.0,3.0,2
4,4.0,4.0,2
10,6.666666666666667,5.0,3
7,7.0,7.0,2
6,5.0,5.0,2
13,8.666666666666666,8.0,3
2,2.0,2.0,2
7,5.0,5.0,3
7,4.5,4.5,2
6,5.0,5.0,2
10,8.666666666666666,9.0,3
2,2.0,2.0,2
6,5.0,5.0,2
14,5.5,3.0,4
9,6.5,6.5,2
1557,161.28027901077996,79.0,3154
8,6.0,6.0,3
5,4.5,4.5,2
16,12.333333333333334,14.0,3
7,5.0,5.0,4
4,4.0,4.0,3
4,4.0,4.0,2
4,3.0,3.0,2
4,3.5,3.5,2
12,7.333333333333333,6.0,3
7,4.5,4.5,2
5,4.0,4.0,2
5,4.0,4.0,2
14,10.0,11.0,3
18,12.666666666666666,14.0,6
5,3.5,3.5,2
5,4.5,4.5,2
12,8.75,8.5,4
6,5.0,5.0,3
9,6.0,5.0,3
5,4.0,4.0,2
11,9.0,9.0,3
7,5.5,5.5,2
4,3.3333333333333335,3.0,3
4,3.5,3.5,2
6,4.0,4.0,2
6,5.0,5.0,2
9,5.5,5.5,2
2,2.0,2.0,2
31,14.222222222222221,11.0,9
9,6.75,7.0,4
5,4.0,4.0,2
7,5.666666666666667,5.0,3
5,4.0,4.0,2
14,9.5,9.0,6
8,5.0,5.0,2
4,3.5,3.5,2
4,4.0,4.0,2
3,2.5,2.5,2
9,6.5,6.5,2
4,3.5,3.5,2
7,5.0,5.0,2
11,7.0,5.0,3
4,3.5,3.5,2
10,6.333333333333333,6.0,3
15,8.75,8.0,4
12,9.0,11.0,3
8,5.0,5.0,3
3,2.5,2.5,2
5,3.6666666666666665,4.0,3
33,15.666666666666666,15.0,6
9,6.0,6.0,4
7,5.0,5.0,2
4,4.0,4.0,2
10,8.2,9.0,5
3,3.0,3.0,2
8,6.0,7.0,3
9,6.5,6.5,2
27,12.666666666666666,14.0,9
7,5.666666666666667,6.0,3
9,6.666666666666667,6.0,3
8,5.666666666666667,6.0,3
4,3.5,3.5,2
11,5.75,5.0,4
13,11.0,11.0,3
6,4.0,4.0,2
4,3.5,3.5,2
5,4.0,4.0,2
2,2.0,2.0,2
7,6.0,6.0,3
4,3.0,3.0,2
6,5.333333333333333,6.0,3
5,3.5,3.5,2
5,3.5,3.5,2
15,9.0,6.0,3
28,16.5,14.0,4
9,7.5,7.5,2
4,3.0,3.0,2
12,8.0,7.5,4
