Community,Topic,Time,Mean Sentiment
3.0,0.0,545.0,0.4097163777666487
3.0,0.0,546.0,0.4081543515197597
3.0,0.0,547.0,0.40415148084144836
3.0,0.0,548.0,0.40362204325504775
3.0,0.0,549.0,0.4052420286118668
3.0,0.0,550.0,0.4025012133906437
3.0,0.0,551.0,0.409720676940477
3.0,0.0,552.0,0.4048851759729543
3.0,0.0,553.0,0.40454651172719336
3.0,0.0,554.0,0.4068059923160568
3.0,0.0,555.0,0.406166272194407
3.0,0.0,556.0,0.402909061782836
3.0,0.0,557.0,0.40503678255601844
3.0,0.0,558.0,0.4016035460475644
3.0,0.0,559.0,0.40840390719559677
3.0,0.0,560.0,0.40687725446786777
3.0,0.0,561.0,0.40188298473365847
3.0,0.0,562.0,0.40624617775694527
3.0,0.0,563.0,0.40268483097081015
3.0,0.0,564.0,0.40504155062881947
3.0,0.0,565.0,0.41202235467046844
3.0,0.0,566.0,0.40426413532023897
3.0,0.0,567.0,0.40567224257305057
3.0,0.0,568.0,0.4024730388854874
3.0,0.0,569.0,0.4050910343027066
3.0,0.0,570.0,0.40421937333540575
3.0,0.0,571.0,0.4023743203074978
3.0,0.0,572.0,0.40522262010211413
3.0,0.0,573.0,0.40154699602174027
3.0,0.0,574.0,0.4006620272949398
3.0,0.0,575.0,0.40391135263198374
3.0,0.0,576.0,0.4047599126304956
3.0,0.0,577.0,0.39999099720692477
3.0,0.0,578.0,0.407478688139966
3.0,0.0,579.0,0.40112010584917845
3.0,0.0,580.0,0.4031068516189188
3.0,0.0,581.0,0.4049636500477151
3.0,0.0,582.0,0.4048780778411753
3.0,0.0,583.0,0.4055737592474124
3.0,0.0,584.0,0.40374684735812627
3.0,0.0,585.0,0.4034059887318087
3.0,0.0,586.0,0.4012221540227937
3.0,0.0,587.0,0.40049640697840727
3.0,0.0,588.0,0.40179462042275216
3.0,0.0,589.0,0.4024173326266761
3.0,0.0,590.0,0.4076121922489843
3.0,0.0,591.0,0.3995323752026058
3.0,0.0,592.0,0.40453990017509817
3.0,0.0,593.0,0.4046217964855048
3.0,0.0,594.0,0.39834060680505107
3.0,0.0,595.0,0.4044562249425121
3.0,0.0,596.0,0.4015263500956976
3.0,0.0,597.0,0.4041976119791409
3.0,0.0,598.0,0.39622301272278077
3.0,0.0,599.0,0.40435998825704333
3.0,1.0,0.0,0.3013788541974284
3.0,1.0,1.0,0.2947510742284253
3.0,1.0,2.0,0.29813981108977733
3.0,1.0,3.0,0.2956912622972446
3.0,1.0,4.0,0.2928009382015434
3.0,1.0,5.0,0.29090878750103594
3.0,1.0,6.0,0.28789621154121303
3.0,1.0,7.0,0.28987965025293516
3.0,1.0,8.0,0.28280277944547466
3.0,1.0,9.0,0.28708989272303825
3.0,1.0,10.0,0.28234244468361047
3.0,1.0,11.0,0.2862858604244358
3.0,1.0,12.0,0.28804801762524257
3.0,1.0,13.0,0.2855242636562082
3.0,1.0,14.0,0.28649487517238603
3.0,1.0,15.0,0.27829397658225763
3.0,1.0,16.0,0.28467479770168425
3.0,1.0,17.0,0.28210588953957744
3.0,1.0,18.0,0.2811691970389205
3.0,1.0,19.0,0.27819766696593873
3.0,1.0,20.0,0.27515689636074936
3.0,1.0,21.0,0.277818835425757
3.0,1.0,22.0,0.27435772494737914
3.0,1.0,23.0,0.2749015590827547
3.0,1.0,24.0,0.2688617488383441
3.0,1.0,25.0,0.26920978862712
3.0,1.0,26.0,0.2686643708976527
3.0,1.0,27.0,0.2677219837847157
3.0,1.0,28.0,0.270029690949922
3.0,1.0,29.0,0.27333487890350516
3.0,1.0,30.0,0.26765028524226486
3.0,1.0,31.0,0.26981738812602635
3.0,1.0,32.0,0.2711874212676411
3.0,1.0,33.0,0.2651107555489493
3.0,1.0,34.0,0.26535447099201004
3.0,1.0,35.0,0.2647967403296287
3.0,1.0,36.0,0.26487655464565296
3.0,1.0,37.0,0.2643403382267076
3.0,1.0,38.0,0.2614424216065507
3.0,1.0,39.0,0.2600799131299554
3.0,1.0,40.0,0.25762400604935753
3.0,1.0,41.0,0.25907672688315114
3.0,1.0,42.0,0.2618744195572498
3.0,1.0,43.0,0.259441327486249
3.0,1.0,44.0,0.2532416775932578
3.0,1.0,45.0,0.25758348127747605
3.0,1.0,46.0,0.25756290249247915
3.0,1.0,47.0,0.25410815599389797
3.0,1.0,48.0,0.25254141952515696
3.0,1.0,49.0,0.2541143409144741
3.0,1.0,50.0,0.2521762715872726
3.0,1.0,51.0,0.25039556541269403
3.0,1.0,52.0,0.2537502025934492
3.0,1.0,53.0,0.25049217166174975
3.0,1.0,54.0,0.2513453291854686
3.0,1.0,55.0,0.25021206733319307
3.0,1.0,56.0,0.252859510373305
3.0,1.0,57.0,0.24961906219173258
3.0,1.0,58.0,0.25025518435089594
3.0,1.0,59.0,0.24766986897109458
3.0,1.0,60.0,0.24951500437393762
3.0,1.0,61.0,0.24781726182716698
3.0,1.0,62.0,0.24886720469552606
